oid	hd_id	sao_id
222473	"HD      1"	"SAO  10963"
1151607	"HD     10"	"SAO 214955"
1482947	"HD    100"	"SAO  73737"
1286867	"HD   1000"	"SAO 166138"
1288909	"HD  10000"	"SAO 147912"
1835392	"HD 100000"	"SAO 179942"
1836229	"HD 100001"	"SAO 202514"
1836495	"HD 100002"	"SAO 202513"
1838161	"HD 100003"	"SAO 222821"
3215521	"HD 100004"	"SAO 239117"
3215596	"HD 100005"	"SAO 239116"
1825276	"HD 100006"	"SAO  99637"
1826718	"HD 100007"	"SAO 118898"
1834911	"HD 100009"	"SAO 156717"
1269971	"HD  10001"	"SAO 167178"
1835658	"HD 100012"	"SAO 179943"
3233784	"HD 100013"	"SAO 239119"
3233794	"HD 100014"	"SAO 239120"
3233792	"HD 100015"	"SAO 239118"
3233792	"HD 100015A"	"SAO 239118"
1819491	"HD 100018"	"SAO  43789"
1831971	"HD 100019"	"SAO 138239"
1228305	"HD  10002"	"SAO 167179"
1832929	"HD 100020"	"SAO 138240"
1834617	"HD 100021"	"SAO 156718"
1834623	"HD 100022"	"SAO 156720"
1834895	"HD 100023"	"SAO 156719"
3238965	"HD 100027"	"SAO 251425"
447949	"HD 100029"	"SAO  15532"
3141324	"HD  10003"	"SAO 215579"
590909	"HD 100030"	"SAO  43790"
1833580	"HD 100031"	"SAO 138241"
1833903	"HD 100032"	"SAO 156721"
1838119	"HD 100034"	"SAO 222823"
3215162	"HD 100035"	"SAO 222822"
3233785	"HD 100038"	"SAO 239124"
3233638	"HD 100039"	"SAO 239123"
1818944	"HD 100040"	"SAO  43791"
1823038	"HD 100041"	"SAO  81863"
1826709	"HD 100042"	"SAO  99639"
1833904	"HD 100043"	"SAO 156722"
1835117	"HD 100046"	"SAO 179944"
1835943	"HD 100047"	"SAO 202516"
1838143	"HD 100049"	"SAO 222824"
83912	"HD  10005"	"SAO  22471"
3214900	"HD 100050"	"SAO 222825"
503999	"HD 100054"	"SAO  28043"
590903	"HD 100055"	"SAO  43793"
1825277	"HD 100056"	"SAO  99638"
1832937	"HD 100057"	"SAO 138242"
1835107	"HD 100059"	"SAO 156724"
25314	"HD  10006"	"SAO  37397"
1835135	"HD 100060"	"SAO 179945"
1835136	"HD 100061"	"SAO 179946"
1835659	"HD 100062"	"SAO 179947"
1836240	"HD 100063"	"SAO 202519"
1836733	"HD 100064"	"SAO 202518"
3235477	"HD 100065"	"SAO 251426"
1821158	"HD 100066"	"SAO  62585"
1822142	"HD 100067"	"SAO  62584"
1826243	"HD 100068"	"SAO  99640"
1826719	"HD 100069"	"SAO 118900"
1485050	"HD  10007"	"SAO  74841"
1832930	"HD 100070"	"SAO 138243"
1835108	"HD 100071"	"SAO 156726"
1835393	"HD 100073"	"SAO 179949"
1836942	"HD 100074"	"SAO 202521"
3215456	"HD 100075"	"SAO 239128"
3233604	"HD 100077"	"SAO 239126"
3235346	"HD 100078"	"SAO 239125"
3235375	"HD 100079"	"SAO 239127"
1347097	"HD  10008"	"SAO 129411"
3271524	"HD 100081"	"SAO 256845"
533187	"HD 100082"	"SAO  28044"
1823997	"HD 100083"	"SAO  81864"
