oid	wr_id	main_id	ra	dec	otype	vmag	identifier
30310	"WR 147"	"EM* AS  431"	309.18180114487996	40.35206739109	"WR*"	13.73	"19P 45"
30310	"WR 147"	"EM* AS  431"	309.18180114487996	40.35206739109	"WR*"	13.73	"1E 2034+40.1"
30310	"WR 147"	"EM* AS  431"	309.18180114487996	40.35206739109	"WR*"	13.73	"2E 2034.8+4010"
30310	"WR 147"	"EM* AS  431"	309.18180114487996	40.35206739109	"WR*"	13.73	"2E  4394"
30310	"WR 147"	"EM* AS  431"	309.18180114487996	40.35206739109	"WR*"	13.73	"2MASS J20364364+4021075"
30310	"WR 147"	"EM* AS  431"	309.18180114487996	40.35206739109	"WR*"	13.73	"ALS 19607"
30310	"WR 147"	"EM* AS  431"	309.18180114487996	40.35206739109	"WR*"	13.73	"BGPS G079.847-00.313"
30310	"WR 147"	"EM* AS  431"	309.18180114487996	40.35206739109	"WR*"	13.73	"EM* AS  431"
30310	"WR 147"	"EM* AS  431"	309.18180114487996	40.35206739109	"WR*"	13.73	"Gaia DR2 2064671253991921408"
30310	"WR 147"	"EM* AS  431"	309.18180114487996	40.35206739109	"WR*"	13.73	"Gaia DR3 2064671253991921408"
30310	"WR 147"	"EM* AS  431"	309.18180114487996	40.35206739109	"WR*"	13.73	"HBHA 4203-20"
30310	"WR 147"	"EM* AS  431"	309.18180114487996	40.35206739109	"WR*"	13.73	"IRAS 20349+4010"
30310	"WR 147"	"EM* AS  431"	309.18180114487996	40.35206739109	"WR*"	13.73	"[KW97] 48-11"
30310	"WR 147"	"EM* AS  431"	309.18180114487996	40.35206739109	"WR*"	13.73	"[MDB89] AS 431 N"
30310	"WR 147"	"EM* AS  431"	309.18180114487996	40.35206739109	"WR*"	13.73	"[MDB89] WR 147 N"
30310	"WR 147"	"EM* AS  431"	309.18180114487996	40.35206739109	"WR*"	13.73	"MHA 328-50"
30310	"WR 147"	"EM* AS  431"	309.18180114487996	40.35206739109	"WR*"	13.73	"NAME WR 147 NIR"
30310	"WR 147"	"EM* AS  431"	309.18180114487996	40.35206739109	"WR*"	13.73	"** NML    2"
30310	"WR 147"	"EM* AS  431"	309.18180114487996	40.35206739109	"WR*"	13.73	"[PSW2002] Source 1"
30310	"WR 147"	"EM* AS  431"	309.18180114487996	40.35206739109	"WR*"	13.73	"StRS 378"
30310	"WR 147"	"EM* AS  431"	309.18180114487996	40.35206739109	"WR*"	13.73	"TIC 64413984"
30310	"WR 147"	"EM* AS  431"	309.18180114487996	40.35206739109	"WR*"	13.73	"UCAC4 652-091381"
30310	"WR 147"	"EM* AS  431"	309.18180114487996	40.35206739109	"WR*"	13.73	"WDS J20367+4021AB"
30310	"WR 147"	"EM* AS  431"	309.18180114487996	40.35206739109	"WR*"	13.73	"WISEA J203643.63+402107.6"
30310	"WR 147"	"EM* AS  431"	309.18180114487996	40.35206739109	"WR*"	13.73	"WISE J203643.45+402106.8"
30310	"WR 147"	"EM* AS  431"	309.18180114487996	40.35206739109	"WR*"	13.73	"WR 147"
30360	"WR 143"	"HD 195177"	307.09443180079	38.62193817797	"WR*"	11.46	"2MASS J20282266+3837188"
30360	"WR 143"	"HD 195177"	307.09443180079	38.62193817797	"WR*"	11.46	"ALS 11371"
30360	"WR 143"	"HD 195177"	307.09443180079	38.62193817797	"WR*"	11.46	"AP J20282266+3837188"
30360	"WR 143"	"HD 195177"	307.09443180079	38.62193817797	"WR*"	11.46	"CSI+38-20265"
30360	"WR 143"	"HD 195177"	307.09443180079	38.62193817797	"WR*"	11.46	"Gaia DR1 2064136921403778816"
30360	"WR 143"	"HD 195177"	307.09443180079	38.62193817797	"WR*"	11.46	"Gaia DR2 2064136921403778816"
30360	"WR 143"	"HD 195177"	307.09443180079	38.62193817797	"WR*"	11.46	"Gaia DR3 2064136925704910080"
30360	"WR 143"	"HD 195177"	307.09443180079	38.62193817797	"WR*"	11.46	"GEN# +1.00195177"
30360	"WR 143"	"HD 195177"	307.09443180079	38.62193817797	"WR*"	11.46	"GSC 03152-01081"
30360	"WR 143"	"HD 195177"	307.09443180079	38.62193817797	"WR*"	11.46	"HBHA 3704-13"
30360	"WR 143"	"HD 195177"	307.09443180079	38.62193817797	"WR*"	11.46	"HD 195177"
30360	"WR 143"	"HD 195177"	307.09443180079	38.62193817797	"WR*"	11.46	"Hen 3-1901"
30360	"WR 143"	"HD 195177"	307.09443180079	38.62193817797	"WR*"	11.46	"JP11  3242"
30360	"WR 143"	"HD 195177"	307.09443180079	38.62193817797	"WR*"	11.46	"[KW97] 47-1"
30360	"WR 143"	"HD 195177"	307.09443180079	38.62193817797	"WR*"	11.46	"LS  II +38   90"
30360	"WR 143"	"HD 195177"	307.09443180079	38.62193817797	"WR*"	11.46	"MR 109"
30360	"WR 143"	"HD 195177"	307.09443180079	38.62193817797	"WR*"	11.46	"MSX6C G077.4993-00.0459"
30360	"WR 143"	"HD 195177"	307.09443180079	38.62193817797	"WR*"	11.46	"NSVS   5737242"
30360	"WR 143"	"HD 195177"	307.09443180079	38.62193817797	"WR*"	11.46	"TIC 15792520"
30360	"WR 143"	"HD 195177"	307.09443180079	38.62193817797	"WR*"	11.46	"TYC 3152-1081-1"
30360	"WR 143"	"HD 195177"	307.09443180079	38.62193817797	"WR*"	11.46	"UBV   17768"
30360	"WR 143"	"HD 195177"	307.09443180079	38.62193817797	"WR*"	11.46	"UCAC2  45397944"
30360	"WR 143"	"HD 195177"	307.09443180079	38.62193817797	"WR*"	11.46	"WR 143"
52244	"WR 145"	"EM* AS  422"	308.02616107143	40.80820197266	"WR*"	11.83	"2MASS J20320628+4048295"
52244	"WR 145"	"EM* AS  422"	308.02616107143	40.80820197266	"WR*"	11.83	"CSI+40-20303"
